rgID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region
UGA_173101_P016_WF08,357-23,TRUE,FALSE,5,2023,HS 131,269670x3610752,RAPiD-Genomics_F534_UGA_173101_P016_WF08_i5-504_i7-164_S14901_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WF09,57-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WF09_i5-504_i7-165_S14902_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P016_WF10,158-24,TRUE,FALSE,6,2024,HS 030,260871x3593893,RAPiD-Genomics_F534_UGA_173101_P016_WF10_i5-504_i7-166_S14903_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WF11,20-23,TRUE,FALSE,6,2023,HS 029,259736x3594236,RAPiD-Genomics_F534_UGA_173101_P016_WF11_i5-504_i7-167_S14904_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WF12,370-23,TRUE,FALSE,2,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P016_WF12_i5-504_i7-168_S14905_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG01,448-24,TRUE,FALSE,5,2024,HS 051,260705x3599596,RAPiD-Genomics_F534_UGA_173101_P016_WG01_i5-504_i7-169_S14906_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG02,8-23,TRUE,TRUE,7,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P016_WG02_i5-504_i7-170_S14907_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG03,64-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WG03_i5-504_i7-171_S14908_L003_R1_001.fastq,F,Euthanized,NGA
UGA_173101_P016_WG04,323-24,TRUE,FALSE,3,2024,HS 083,266526x3596862,RAPiD-Genomics_F534_UGA_173101_P016_WG04_i5-504_i7-172_S14909_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG05,24-CGA-H,FALSE,FALSE,NA,2012,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WG05_i5-504_i7-173_S14910_L003_R1_001.fastq,,Hair Snare,CGA-H
UGA_173101_P016_WG06,486-23,TRUE,FALSE,5,2023,HS 049,262785x3598339,RAPiD-Genomics_F534_UGA_173101_P016_WG06_i5-504_i7-174_S14911_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WG07,93-23,TRUE,FALSE,7,2023,HS 055,265989x3582156,RAPiD-Genomics_F534_UGA_173101_P016_WG07_i5-504_i7-175_S14912_L003_R1_001.fastq,,Hair Snare,CGA
