extID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region,nSNPgt,vcfID,FILT
GTseek_024_384i5_021_P098.002_754-23,754-23,TRUE,FALSE,7,2023,HS 024,265557x3590544,NA,NA,Hair Sample,CGA,123,GTS_754-23,FALSE
GTseek_024_384i5_022_P098.004_563-24,563-24,TRUE,FALSE,4,2024,HS 045,258191x3598537,NA,NA,Hair Sample,CGA,118,GTS_563-24,FALSE
GTseek_024_384i5_023_P098.002_755-23,755-23,TRUE,FALSE,3,2023,HS 042,259530x3597317,NA,NA,Hair Sample,CGA,123,GTS_755-23,FALSE
GTseek_024_384i5_024_P098.004_564-24,564-24,TRUE,TRUE,6,2024,HS 123,270896x3606897,NA,NA,Hair Sample,CGA,122,GTS_564-24,FALSE
GTseek_024_384i5_025_P098.002_756-23,756-23,TRUE,FALSE,6,2023,HS 026,262853x3592521,NA,NA,Hair Sample,CGA,NA,GTS_756-23,TRUE
GTseek_024_384i5_026_P098.004_565-24,565-24,TRUE,FALSE,6,2024,HS 096,271378x3600579,NA,NA,Hair Sample,CGA,121,GTS_565-24,FALSE
GTseek_024_384i5_027_P098.002_759-23,759-23,TRUE,FALSE,2,2023,HS 078,269432x3597119,NA,NA,Hair Sample,CGA,123,GTS_759-23,FALSE
GTseek_024_384i5_028_P098.004_566-24,566-24,TRUE,FALSE,6,2024,HS 123,270896x3606897,NA,NA,Hair Sample,CGA,122,GTS_566-24,FALSE
GTseek_024_384i5_029_P098.002_760-23,760-23,TRUE,FALSE,6,2023,HS 047,259836x3598339,NA,NA,Hair Sample,CGA,126,GTS_760-23,FALSE
GTseek_024_384i5_030_P098.004_568-24,568-24,TRUE,FALSE,6,2024,HS 030,260871x3593893,NA,NA,Hair Sample,CGA,122,GTS_568-24,FALSE
GTseek_024_384i5_031_P098.002_761-23,761-23,TRUE,FALSE,6,2023,HS 088,269565x3599125,NA,NA,Hair Sample,CGA,NA,GTS_761-23,TRUE
GTseek_024_384i5_032_P098.004_564-24R,564-24R,TRUE,TRUE,6,2024,HS 123,270896x3606897,NA,NA,Hair Sample,CGA,122,GTS_564-24R,FALSE
GTseek_024_384i5_033_P098.001_610-23,610-23,TRUE,FALSE,2,2023,HS 130,264559x3611461,NA,NA,Hair Sample,CGA,113,GTS_610-23,FALSE
GTseek_024_384i5_034_P098.003_938-23,938-23,TRUE,FALSE,5,2023,HS 027,264464x3592495,NA,NA,Hair Sample,CGA,123,GTS_938-23,FALSE
GTseek_024_384i5_035_P098.001_611-23,611-23,TRUE,FALSE,4,2023,HS 027,264464x3592495,NA,NA,Hair Sample,CGA,NA,GTS_611-23,TRUE
GTseek_024_384i5_036_P098.003_939-23,939-23,TRUE,FALSE,4,2023,HS 126,270872x3608550,NA,NA,Hair Sample,CGA,120,GTS_939-23,FALSE
GTseek_024_384i5_037_P098.001_613-23,613-23,TRUE,FALSE,3,2023,HS 132,270235x3611933,NA,NA,Hair Sample,CGA,NA,GTS_613-23,TRUE
GTseek_024_384i5_038_P098.003_943-23,943-23,TRUE,FALSE,5,2023,HS 088,269565x3599125,NA,NA,Hair Sample,CGA,124,GTS_943-23,FALSE
GTseek_024_384i5_039_P098.001_614-23,614-23,TRUE,FALSE,7,2023,HS 071,266900x3593042,NA,NA,Hair Sample,CGA,122,GTS_614-23,FALSE
GTseek_024_384i5_040_P098.003_944-23,944-23,TRUE,FALSE,5,2023,HS 027,264464x3592495,NA,NA,Hair Sample,CGA,121,GTS_944-23,FALSE
GTseek_024_384i5_041_P098.001_615-23,615-23,TRUE,FALSE,1,2023,HS 107,264125x3603185,NA,NA,Hair Sample,CGA,NA,GTS_615-23,TRUE
GTseek_024_384i5_042_P098.003_947-23,947-23,TRUE,FALSE,6,2023,HS 089,271012x3598856,NA,NA,Hair Sample,CGA,NA,GTS_947-23,TRUE
GTseek_024_384i5_043_P098.001_616-23,616-23,TRUE,FALSE,6,2023,HS 040,262860x3595893,NA,NA,Hair Sample,CGA,122,GTS_616-23,FALSE
GTseek_024_384i5_044_P098.003_948-23,948-23,TRUE,FALSE,6,2023,HS 030,260871x3593893,NA,NA,Hair Sample,CGA,124,GTS_948-23,FALSE
